material,liberation_state,residual_coating_fraction,size_mm,aerodynamic_size_mm,metal_thickness_mm,coating_thickness_mm,total_thickness_mm,metal_density_kg_m3,coating_density_kg_m3,effective_density_kg_m3,areal_density_kg_m2,suspension_velocity_m_s,eq9_velocity_m_s,physical_particle_mass_kg,source_subfraction,pneumatic_fraction,statistical_mass,mill_fraction,x_m,z_m,vx_m_s,vz_m_s,dynamic_stream,exit_time_s
aluminum,partial,0.19092886847343693,0.6008831554338122,0.6008831554338122,0.0218,0.030014018124024287,0.05181401812402429,2700.0,,2324.030848105324,0.1204173764845208,1.3761077561283617,1.3747985820843134,4.347796616802961e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.024332163836964984,0.5320983592116871,-1.709614520204396e-38,-0.2916163046732381,active,
aluminum,heavily_coated,0.3021830882082328,0.5988692123029039,0.5988692123029039,0.0218,0.0475031814663342,0.0693031814663342,2700.0,,2255.1179637422083,0.15628684946921634,1.5297016919150919,1.5662306309317349,5.605139295399683e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.014699800681587332,0.0,0.0,0.0,heavy,7.771999999999366
copper,partial,0.06914826364673377,0.9053855813468716,0.9053855813468716,0.012,0.01009564649242313,0.02209564649242313,8900.0,,5290.437939098459,0.11689564649242312,1.4337412748795797,1.354545705151758,9.582205598096094e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.02776328563949957,0.5194227054492028,-2.5101530284737504e-36,-0.2922624237729881,active,
aluminum,partial,0.22715321043849557,0.6179816518299993,0.6179816518299993,0.0218,0.035708484680931504,0.057508484680931504,2700.0,,2296.990910304328,0.13209646657747534,1.4329706083369433,1.4399257409325152,5.044781521727307e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.0017659639650776725,0.5195889506044329,-3.483750868563166e-37,-0.29216480662975736,active,
aluminum,heavily_coated,0.28305886200834435,0.8726569095126457,0.8726569095126457,0.0218,0.04449685310771173,0.06629685310771173,2700.0,,2264.376070101102,0.1501210077001103,1.5500980067267558,1.5350242137702361,1.1432166326177805e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.016976388149932218,0.0,0.0,0.0,heavy,5.519999999999614
copper,partial,0.38160340992713376,0.9432585907185012,0.9432585907185012,0.012,0.05571409784936153,0.06771409784936153,8900.0,,2400.0038841379005,0.16251409784936152,1.6187269020937245,1.5971290742590527,1.4459476833163133e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.014340867584590751,0.0,0.0,0.0,heavy,2.7859999999999148
aluminum,partial,0.26225675457781633,0.8900435099366315,0.8900435099366315,0.0218,0.04122676181963274,0.06302676181963274,2700.0,,2275.4492869846354,0.14341420024343376,1.5219083413794088,1.5003430564444042,1.1360949538244449e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.02618972637515186,0.0,0.0,0.0,heavy,9.527999999999851
copper,partial,0.1138804863642644,0.5522350382509004,0.5522350382509004,0.012,0.016626551009182602,0.028626551009182603,8900.0,,4311.610957589364,0.1234265510091826,1.4361252613722313,1.391870376378537,3.764059761372529e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.029657921652186527,0.5189149826423346,1.8703627762242397e-37,-0.292264616145403,active,
copper,heavily_coated,0.5634919627879756,0.8829412925501422,0.8829412925501422,0.012,0.08226982656704444,0.09426982656704444,8900.0,,2005.6239992398685,0.18906982656704446,1.6948205714868592,1.7226839518020507,1.4739606239807101e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.0045916603650446135,0.0,0.0,0.0,heavy,1.8000000000000014
aluminum,partial,0.20709415696908287,0.8636795547895912,0.8636795547895912,0.0218,0.03255520147553983,0.05435520147553983,2700.0,,2311.264124463524,0.125629227148402,1.4343581483580474,1.4042351474455117,9.371216386265582e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.00413578944491729,0.5192928559844893,2.131980297674508e-36,-0.2921764558402704,active,
copper,heavily_coated,0.5089061895412924,0.6124937634282828,0.6124937634282828,0.012,0.07430030367302869,0.08630030367302868,8900.0,,2098.4897615097007,0.1811003036730287,1.6139652924390668,1.6859864668649802,6.79395272367145e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.009231000586144511,0.0,0.0,0.0,heavy,2.9859999999998927
aluminum,partial,0.1417044155342539,0.8688901828877897,0.8688901828877897,0.0218,0.02227593412198471,0.04407593412198471,2700.0,,2371.9728848639793,0.10454692061239879,1.322914047828079,1.2810029140998125,7.892980432828916e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.0299716145969793,0.5445111664339418,7.636518044458432e-40,-0.2908773109910744,active,
aluminum,partial,0.21922814861023115,0.6807062034569245,0.6807062034569245,0.0218,0.03446266496152834,0.05626266496152834,2700.0,,2302.438881663413,0.12954134739342463,1.4316597461187102,1.4259316213224227,6.002439990439843e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.014363353117802754,0.5198690457530059,-7.926465207677061e-37,-0.29215501541035027,active,
copper,partial,0.1484010214695981,0.6140859907301519,0.6140859907301519,0.012,0.021666549134561324,0.033666549134561324,8900.0,,3815.851414443913,0.12846654913456132,1.4611784926910878,1.4200038574652094,4.844494174040515e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.019464656100477165,0.5133835294657947,1.0701590951502093e-35,-0.29188883850850433,active,
aluminum,partial,0.18417922411983834,0.5122473794871091,0.5122473794871091,0.0218,0.028952974031638587,0.05075297403163859,2700.0,,2329.739801548721,0.11824122364847708,1.3489146518700315,1.3623194362507263,3.102618703220809e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.025725543408204692,0.5383536681715254,-1.419651147043335e-38,-0.29126726781346657,active,
copper,partial,0.24226912502787556,0.8087539040021463,0.8087539040021463,0.012,0.03537129225406983,0.04737129225406983,8900.0,,3001.2120313617875,0.14217129225406983,1.5319094899195846,1.4938275011593138,9.299180789828792e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.0024697869562536018,0.0,0.0,0.0,heavy,7.801999999999363
aluminum,partial,0.20779373080667696,0.7450931655608173,0.7450931655608173,0.0218,0.03266517448280962,0.05446517448280962,2700.0,,2310.738521348228,0.12585477674938073,1.4228573955940254,1.4054951354801197,6.987001930069957e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.0021544418839849915,0.52175974700311,2.551230549719302e-37,-0.2920843530512762,active,
aluminum,partial,0.16104285779809485,0.8447151510572787,0.8447151510572787,0.0218,0.02531593724586051,0.04711593724586051,2700.0,,2351.2601947107987,0.11078182778268375,1.3555856378152313,1.3186476287761657,7.904767378503553e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.019553715455279855,0.5368019596833323,-4.211343387805912e-38,-0.2913600039616162,active,
copper,partial,0.1769747598064605,0.28373627824413294,0.28373627824413294,0.012,0.02583831493174323,0.03783831493174323,8900.0,,3505.3969811026286,0.13263831493174322,1.3896000510396034,1.4428759444833232,1.067821673593113e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.003340972069449436,0.5290608051916534,2.8676434185909757e-37,-0.29182110377968784,active,
copper,partial,0.33161481911027535,0.5986498313966426,0.5986498313966426,0.012,0.048415763590100205,0.0604157635901002,8900.0,,2569.126902759763,0.1552157635901002,1.5431640782928124,1.5608544535959183,5.5626476902933764e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.002092091873539496,0.0,0.0,0.0,heavy,6.275999999999531
aluminum,partial,0.1444990353227879,0.8520547114426655,0.8520547114426655,0.0218,0.02271524835274226,0.04451524835274226,2700.0,,2368.8048001629127,0.10544793397842005,1.3267748424850805,1.2865110849601262,7.655490811375702e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.001073879855195138,0.5435855937201516,-1.269888501789432e-39,-0.29093923531781446,active,
copper,partial,0.09336675497399183,0.6526985643882138,0.6526985643882138,0.012,0.013631546226202804,0.025631546226202805,8900.0,,4698.56734991224,0.1204315462262028,1.4350453573999726,1.3748794672866707,5.13056952595916e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.04208664252007759,0.5191448208447642,-3.428905294962703e-36,-0.2922635462367112,active,
copper,heavily_coated,0.5912278899275296,0.2900747347884862,0.2900747347884862,0.012,0.08631927192941932,0.09831927192941932,8900.0,,1964.205675445342,0.19311927192941933,1.4566906671901592,1.7410342019053406,1.6249702830096385e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.0319572667696843,0.5145550855003457,1.2530991738167198e-36,-0.292240803992547,active,
aluminum,heavily_coated,0.31487315595554083,0.6711055280683034,0.6711055280683034,0.0218,0.04949806011621102,0.07129806011621102,2700.0,,2249.405579201176,0.1603782542116259,1.5616676451219125,1.5865992178573898,7.223157989518026e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.008999628004082012,0.0,0.0,0.0,heavy,4.751999999999699
aluminum,heavily_coated,0.2972351427925892,0.7926163553276203,0.7926163553276203,0.0218,0.04672536444699503,0.06852536444699503,2700.0,,2257.4353837609133,0.15469158238775868,1.5593894930346535,1.5582166335777128,9.718354595107528e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.010872417343831523,0.0,0.0,0.0,heavy,4.813999999999692
copper,heavily_coated,0.514673472034261,0.41448643161814447,0.41448643161814447,0.012,0.0751423269170021,0.08714232691700209,8900.0,,2087.8754717015004,0.1819423269170021,1.5367133321002149,1.6899014063812319,3.1257510185087734e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.010462035996628228,0.0,0.0,0.0,heavy,7.01399999999945
aluminum,partial,0.15019966858765066,0.6294179148161642,0.6294179148161642,0.0218,0.023611387901978684,0.045411387901978684,2700.0,,2362.5323978408896,0.10728587514934446,1.3148028207140074,1.2976744955281008,4.250311380458148e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.015207415045549686,0.5464688045782622,1.6080722969938135e-39,-0.2907417045988307,active,
aluminum,partial,0.16775364525629666,0.7101805813062199,0.7101805813062199,0.0218,0.026370873034289838,0.04817087303428984,2700.0,,2344.683532861939,0.1129454527670826,1.3541549499801484,1.331462288850919,5.6964768512090325e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.007272097634143739,0.5371337980210555,1.6126165988094812e-38,-0.2913403020578774,active,
aluminum,partial,0.16263165253803935,0.7078845454942851,0.7078845454942851,0.0218,0.025565695778979783,0.04736569577897978,2700.0,,2349.6766861425476,0.11129407109478927,1.3453068842793754,1.3216927554858626,5.576951798359419e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.0014282226851050383,0.539197532311236,-3.190082445323116e-38,-0.29121762350561464,active,
aluminum,partial,0.2110296692184469,0.6358047413686706,0.6358047413686706,0.0218,0.033173864001139856,0.054973864001139856,2700.0,,2308.3346597228146,0.12689807565271946,1.412368683890518,1.411308681842879,5.129825130183655e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.0005721736549367323,0.5240353315992974,1.0614508932280136e-36,-0.29199251129076104,active,
aluminum,partial,0.20082647419734892,0.6436778446901904,0.6436778446901904,0.0218,0.031569921743823254,0.053369921743823254,2700.0,,2316.0697918818487,0.12360846354596727,1.3981805686739062,1.3928957045728523,5.121360295953153e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.005515861228733572,0.5271534677836721,3.1778612860698835e-37,-0.2918568666825441,active,
copper,heavily_coated,0.6094720974325325,0.31251072854657846,0.31251072854657846,0.012,0.08898292622514974,0.10098292622514973,8900.0,,1938.7725583296688,0.19578292622514976,1.4807150703049825,1.7529999458157295,1.912073920311178e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.016775394033527943,0.42853693190580405,-1.1454982947999476e-35,-0.263706238922149,active,
copper,partial,0.34843336872012903,0.6886824718929139,0.6886824718929139,0.012,0.050871271833138845,0.06287127183313884,8900.0,,2507.8428865189876,0.15767127183313884,1.567925029335929,1.5731523393152196,7.478089007961225e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.02413917536859489,0.0,0.0,0.0,heavy,4.537999999999722
aluminum,partial,0.20982478440592475,0.9101709137257648,0.9101709137257648,0.0218,0.03298445610861137,0.05478445610861137,2700.0,,2309.224508672791,0.1265096087403142,1.442894626538497,1.4091468407472558,1.0480196314939604e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.006738823063394351,0.5174805763261008,2.8972895038915112e-36,-0.2922391154729277,active,
aluminum,partial,0.26982917430361464,0.8358223269347689,0.8358223269347689,0.0218,0.04241714620052822,0.06421714620052822,2700.0,,2271.2878524961397,0.14585562408722838,1.5267799267215136,1.513059772670312,1.0189458761875784e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.0039032191682767956,0.0,0.0,0.0,heavy,8.519999999999515
aluminum,partial,0.24879288316530904,0.8867340086209539,0.8867340086209539,0.0218,0.039110241233586585,0.060910241233586584,2700.0,,2283.250084792649,0.13907331346132729,1.5014942902062494,1.47746225944658,1.0935295725376692e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.000888611945259304,0.18747485433952157,1.0525977951582283e-34,-0.2815437465656096,active,
aluminum,heavily_coated,0.36657217145578913,0.8499709160047253,0.8499709160047253,0.0218,0.05762514535285006,0.07942514535285006,2700.0,,2229.0992734419706,0.17704653379906096,1.6584051877607564,1.6670100163196564,1.2790736714464235e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.015657055649413734,0.0,0.0,0.0,heavy,2.2699999999999716
copper,heavily_coated,0.6055941021924013,0.2943541103667182,0.2943541103667182,0.012,0.08841673892009058,0.10041673892009058,8900.0,,1944.0657107520665,0.1952167389200906,1.462660387171576,1.7504633483994294,1.6914425947687356e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.006960426433006695,0.5129601673181102,2.235028150799033e-37,-0.2915724661832162,active,
aluminum,heavily_coated,0.3183385477486512,0.668174397879295,0.668174397879295,0.0218,0.05004281970608797,0.07184281970608797,2700.0,,2247.9007900904744,0.16149553117964263,1.565444126943169,1.5921161570047804,7.2100814559743e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.03865354234698088,0.0,0.0,0.0,heavy,4.543999999999722
copper,partial,0.07023255142151331,0.6349454911594752,0.6349454911594752,0.012,0.010253952507540944,0.022253952507540944,8900.0,,5259.917422214153,0.11705395250754094,1.4203685146097178,1.3554625920911143,4.7190977144103364e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.01794896088643623,0.5222956993979941,2.1769333576545e-37,-0.29215315539809794,active,
copper,partial,0.3516845065492418,0.5833066104485766,0.5833066104485766,0.012,0.0513459379561893,0.0633459379561893,8900.0,,2496.5442624839598,0.1581459379561893,1.5477946154292697,1.5755185312018223,5.380861797696121e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.0388549161495467,0.0,0.0,0.0,heavy,5.801999999999583
aluminum,partial,0.2543056052259366,0.9060997424972248,0.9060997424972248,0.0218,0.039976841141517235,0.061776841141517234,2700.0,,2279.9914592304276,0.1408506701808942,1.5117380689964874,1.486873269367405,1.1564075853108091e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.026747349686033615,0.04276477931877876,1.0858320949615773e-34,-0.2903475771234184,active,
aluminum,heavily_coated,0.2723537902809515,0.6565804168794833,0.6565804168794833,0.0218,0.04281401583216558,0.06461401583216558,2700.0,,2269.934527911943,0.1466695855244816,1.5031757517081479,1.517275787189746,6.322894207499043e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.02454329671933355,0.1604698410242436,-1.0776820890232337e-35,-0.28298686539610635,active,
copper,partial,0.32954683936217305,0.77717859596265,0.77717859596265,0.012,0.04811383854687727,0.06011383854687727,8900.0,,2577.0079284834587,0.15491383854687726,1.572819254986386,1.5593356309120194,9.356897626971496e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.018275389345438386,0.0,0.0,0.0,heavy,4.275999999999751
aluminum,heavily_coated,0.2801523573076848,0.5981263552420287,0.5981263552420287,0.0218,0.04403995056876804,0.06583995056876804,2700.0,,2265.857131283112,0.14918392151957063,1.5014386591279607,1.530225745493514,5.337131425683284e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.030866539643690034,0.17251141780467308,-1.7677101137161285e-35,-0.2814947681895912,active,
copper,partial,0.27320298807045784,0.26271810718852684,0.26271810718852684,0.012,0.03988763625828684,0.05188763625828684,8900.0,,2827.024833586628,0.14668763625828685,1.3924689257187208,1.5173691504410094,1.0124498568629187e-08,0.25-0.50,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.017755059672188905,0.5284213200529453,-1.58553647719944e-37,-0.2918265670784005,active,
copper,heavily_coated,0.6502660045738051,0.6950959716942657,0.6950959716942657,0.012,0.09493883666777554,0.10693883666777554,8900.0,,1886.48804264173,0.20173883666777553,1.6864450105879005,1.7794641834938418,9.747181553253751e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.02177139533778158,0.0,0.0,0.0,heavy,1.9440000000000015
aluminum,partial,0.20501156531799655,0.5277757155082192,0.5277757155082192,0.0218,0.03222781806798906,0.05402781806798906,2700.0,,2312.841481344432,0.12495777877417527,1.3829027232441398,1.4004775241464802,3.480664013054429e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.040246505844398456,0.5305637231384576,-1.344560379813532e-37,-0.291693680605189,active,
aluminum,partial,0.18078259333186703,0.5107649117144499,0.5107649117144499,0.0218,0.028419023671769503,0.0502190236717695,2700.0,,2332.703970546935,0.11714611591612725,1.3435040013877728,1.3559961045001323,3.056117185589146e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.015602064629881111,0.5396205261448527,1.373039513156569e-38,-0.2911906311002022,active,
aluminum,heavily_coated,0.3044306588847375,0.8437955985176953,0.8437955985176953,0.0218,0.04785649957668074,0.06965649957668074,2700.0,,2254.0823854948885,0.15701148873102821,1.5762928269276226,1.5698574225458244,1.1179076876945248e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.015104065128640291,0.0,0.0,0.0,heavy,3.8259999999998002
aluminum,heavily_coated,0.3510182810095489,0.890813978569362,0.890813978569362,0.0218,0.05518007377470109,0.07698007377470109,2700.0,,2234.757587837303,0.17203180398028867,1.6445193137211227,1.6432319359343681,1.3651575967337568e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.017716001529756296,0.0,0.0,0.0,heavy,2.3239999999999656
copper,partial,0.20374628017650143,0.9497333494721872,0.9497333494721872,0.012,0.02974695690576921,0.04174695690576921,8900.0,,3270.8241995693616,0.1365469569057692,1.5213645856078521,1.4639812278827053,1.2316445871183997e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,-0.02431608006040089,0.0,0.0,0.0,heavy,9.293999999999773
aluminum,partial,0.19671247371339795,0.8323647286130157,0.8323647286130157,0.0218,0.030923200867746158,0.05272320086774616,2700.0,,2319.321790736413,0.12228206864993663,1.4146112207438855,1.3854022338401961,8.472081297205324e-08,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.009764652182068593,0.5235466958624008,7.986444718910299e-38,-0.292013501776061,active,
aluminum,heavily_coated,0.36625267641878156,0.8440050592127788,0.8440050592127788,0.0218,0.057574920733032456,0.07937492073303246,2700.0,,2229.211995049502,0.17694352540417935,1.6570838107795032,1.6665249997356772,1.2604475420590738e-07,0.50-1.00,0.25-1.00,1.6666666666666667e-05,pneumatic_feed,0.03924923817850286,0.0,0.0,0.0,heavy,2.2359999999999753
