window,strategy,fraction_mm,true_al_fraction,camera_al_fraction,camera_cu_fraction,flow_m3_h,duty,feedback_action,top_camera_cu_fraction,al_recovery,cu_recovery,al_purity,cu_purity,unresolved_fraction,objective,top_cu_true_fraction,heavy_al_true_fraction
1,fixed,0.25-1.00,0.6555555555555556,0.6,0.36666666666666664,75.0,0.5,fixed,0.0625,0.4067796610169492,0.0,1.0,0.0,0.7333333333333333,0.27270056497175144,0.0,0.0
2,fixed,0.25-1.00,0.8,0.7333333333333333,0.225,75.0,0.5,fixed,0.0684931506849315,0.5069444444444444,0.0,1.0,0.0,0.5944444444444444,0.3083055555555555,0.0,0.0
3,fixed,0.25-1.00,0.7944444444444444,0.7166666666666667,0.26666666666666666,75.0,0.5,fixed,0.05194805194805195,0.5384615384615384,0.0,1.0,0.0,0.5722222222222222,0.3186495726495726,0.0,0.0
4,fixed,0.25-1.00,0.7277777777777777,0.725,0.25833333333333336,75.0,0.5,fixed,0.05172413793103448,0.44274809160305345,0.0,1.0,0.0,0.6777777777777778,0.2857133163698049,0.0,0.0
5,fixed,0.25-1.00,0.6944444444444444,0.6833333333333333,0.2916666666666667,75.0,0.5,fixed,0.08333333333333333,0.48,0.0,1.0,0.0,0.6666666666666666,0.2973333333333333,0.0,0.0
6,fixed,0.25-1.00,0.6555555555555556,0.625,0.35,75.0,0.5,fixed,0.05660377358490566,0.4491525423728814,0.0,1.0,0.0,0.7055555555555556,0.2865235404896422,0.0,0.0
7,fixed,0.25-1.00,0.5388888888888889,0.525,0.4,75.0,0.5,fixed,0.07894736842105263,0.3917525773195876,0.0,1.0,0.0,0.7888888888888889,0.2659702176403207,0.0,0.0
8,fixed,0.25-1.00,0.37777777777777777,0.39166666666666666,0.5583333333333333,75.0,0.5,fixed,0.02857142857142857,0.5147058823529411,0.0,1.0,0.0,0.8055555555555556,0.3021895424836601,0.0,0.0
9,fixed,0.25-1.00,0.3111111111111111,0.31666666666666665,0.65,75.0,0.5,fixed,0.08333333333333333,0.42857142857142855,0.0,1.0,0.0,0.8666666666666667,0.2739047619047619,0.0,0.0
10,fixed,0.25-1.00,0.43333333333333335,0.425,0.55,75.0,0.5,fixed,0.03125,0.41025641025641024,0.0,1.0,0.0,0.8222222222222222,0.27018803418803417,0.0,0.0
1,adaptive,0.25-1.00,0.6555555555555556,0.6,0.36666666666666664,75.0,0.55,none,0.045454545454545456,0.559322033898305,0.0,1.0,0.0,0.6333333333333333,0.32246327683615816,0.0,0.0
2,adaptive,0.25-1.00,0.8,0.7333333333333333,0.225,80.0,0.55,increase_flow,0.125,0.7638888888888888,0.0,0.9090909090909091,0.0,0.3277777777777778,0.37969191919191914,0.09090909090909091,0.0
3,adaptive,0.25-1.00,0.7944444444444444,0.7166666666666667,0.26666666666666666,75.0,0.55,hold,0.06593406593406594,0.6363636363636364,0.0,1.0,0.0,0.49444444444444446,0.35113131313131307,0.0,0.0
4,adaptive,0.25-1.00,0.7277777777777777,0.725,0.25833333333333336,75.0,0.55,hold,0.07894736842105263,0.5648854961832062,0.0,0.9736842105263158,0.0,0.5777777777777777,0.32161769563858755,0.02631578947368421,0.0
5,adaptive,0.25-1.00,0.6944444444444444,0.6833333333333333,0.2916666666666667,75.0,0.55,hold,0.0759493670886076,0.632,0.0,1.0,0.0,0.5611111111111111,0.34715555555555555,0.0,0.0
6,adaptive,0.25-1.00,0.6555555555555556,0.625,0.35,75.0,0.55,hold,0.016129032258064516,0.5254237288135594,0.0,1.0,0.0,0.6555555555555556,0.3114048964218456,0.0,0.0
7,adaptive,0.25-1.00,0.5388888888888889,0.525,0.4,80.0,0.55,increase_flow,0.23595505617977527,0.711340206185567,0.0,0.7752808988764045,0.0,0.5055555555555555,0.3327304014312007,0.2247191011235955,0.0
8,adaptive,0.25-1.00,0.37777777777777777,0.39166666666666666,0.5583333333333333,70.0,0.55,decrease_flow,0.034482758620689655,0.4264705882352941,0.0,1.0,0.0,0.8388888888888889,0.27438562091503266,0.0,0.0
9,adaptive,0.25-1.00,0.3111111111111111,0.31666666666666665,0.65,80.0,0.55,increase_flow,0.5,0.6964285714285714,0.0,0.4431818181818182,0.0,0.5111111111111111,0.26825685425685425,0.5568181818181818,0.0
10,adaptive,0.25-1.00,0.43333333333333335,0.425,0.55,70.0,0.55,decrease_flow,0.06896551724137931,0.3717948717948718,0.0,1.0,0.0,0.8388888888888889,0.25798290598290596,0.0,0.0
1,fixed,1.00-1.50,0.6555555555555556,0.6916666666666667,0.25833333333333336,84.0,0.5,fixed,0.1927710843373494,0.6271186440677966,0.0,0.891566265060241,0.0,0.5388888888888889,0.3270619653756268,0.10843373493975904,0.0
2,fixed,1.00-1.50,0.8,0.7416666666666667,0.23333333333333334,84.0,0.5,fixed,0.11320754716981132,0.6875,0.0,0.9339622641509434,0.0,0.4111111111111111,0.35791876310272536,0.0660377358490566,0.0
3,fixed,1.00-1.50,0.7944444444444444,0.7416666666666667,0.21666666666666667,84.0,0.5,fixed,0.1271186440677966,0.7482517482517482,0.0,0.9067796610169492,0.0,0.34444444444444444,0.37391808568079754,0.09322033898305085,0.0
4,fixed,1.00-1.50,0.7277777777777777,0.6666666666666666,0.2916666666666667,84.0,0.5,fixed,0.07526881720430108,0.6717557251908397,0.0,0.946236559139785,0.0,0.48333333333333334,0.3525159648690799,0.053763440860215055,0.0
5,fixed,1.00-1.50,0.6944444444444444,0.6916666666666667,0.26666666666666666,84.0,0.5,fixed,0.13592233009708737,0.744,0.0,0.9029126213592233,0.0,0.42777777777777776,0.36861316073354905,0.0970873786407767,0.0
6,fixed,1.00-1.50,0.6555555555555556,0.6333333333333333,0.325,84.0,0.5,fixed,0.10638297872340426,0.7372881355932204,0.0,0.925531914893617,0.0,0.4777777777777778,0.368671074247706,0.07446808510638298,0.0
7,fixed,1.00-1.50,0.5388888888888889,0.5833333333333334,0.375,84.0,0.5,fixed,0.20833333333333334,0.6082474226804123,0.0,0.8194444444444444,0.0,0.6,0.3059742268041237,0.18055555555555555,0.0
8,fixed,1.00-1.50,0.37777777777777777,0.4083333333333333,0.575,84.0,0.5,fixed,0.373134328358209,0.6470588235294118,0.0,0.6567164179104478,0.0,0.6277777777777778,0.28721549117159306,0.34328358208955223,0.0
9,fixed,1.00-1.50,0.3111111111111111,0.3333333333333333,0.6416666666666667,84.0,0.5,fixed,0.373134328358209,0.75,0.0,0.6268656716417911,0.0,0.6277777777777778,0.31272470978441125,0.373134328358209,0.0
10,fixed,1.00-1.50,0.43333333333333335,0.4,0.575,84.0,0.5,fixed,0.24324324324324326,0.7692307692307693,0.0,0.8108108108108109,0.0,0.5888888888888889,0.3531596211596212,0.1891891891891892,0.0
1,adaptive,1.00-1.50,0.6555555555555556,0.6916666666666667,0.25833333333333336,79.0,0.65,none,0.26666666666666666,0.7711864406779662,0.0,0.7520661157024794,0.0,0.3277777777777778,0.353616721918725,0.24793388429752067,0.0
2,adaptive,1.00-1.50,0.8,0.7416666666666667,0.23333333333333334,74.0,0.65,decrease_flow,0.1,0.6597222222222222,0.0,0.95,0.0,0.4444444444444444,0.3511388888888889,0.05,0.0
3,adaptive,1.00-1.50,0.7944444444444444,0.7416666666666667,0.21666666666666667,79.0,0.65,hold,0.15,0.8741258741258742,0.0,0.8445945945945946,0.0,0.17777777777777778,0.40715367815367814,0.1554054054054054,0.0
4,adaptive,1.00-1.50,0.7277777777777777,0.6666666666666666,0.2916666666666667,79.0,0.65,hold,0.15,0.816793893129771,0.0,0.8492063492063492,0.0,0.3,0.38589531079607414,0.15079365079365079,0.0
5,adaptive,1.00-1.50,0.6944444444444444,0.6916666666666667,0.26666666666666666,79.0,0.65,hold,0.275,0.872,0.0,0.7841726618705036,0.0,0.22777777777777777,0.3936399680255795,0.2158273381294964,0.0
6,adaptive,1.00-1.50,0.6555555555555556,0.6333333333333333,0.325,74.0,0.65,decrease_flow,0.125,0.711864406779661,0.0,0.9545454545454546,0.0,0.5111111111111111,0.3649330594076357,0.045454545454545456,0.0
7,adaptive,1.00-1.50,0.5388888888888889,0.5833333333333334,0.375,79.0,0.65,hold,0.3805309734513274,0.7628865979381443,0.0,0.6548672566371682,0.0,0.37222222222222223,0.3318531966872446,0.34513274336283184,0.0
8,adaptive,1.00-1.50,0.37777777777777777,0.4083333333333333,0.575,64.0,0.45,decrease_flow,0.0,0.014705882352941176,0.5267857142857143,1.0,0.8194444444444444,0.5944444444444444,0.46616970121381884,0.0,0.18055555555555555
9,adaptive,1.00-1.50,0.3111111111111111,0.3333333333333333,0.6416666666666667,74.0,0.45,increase_flow,0.08333333333333333,0.21428571428571427,0.04032258064516129,1.0,1.0,0.9055555555555556,0.40016026625704043,0.0,0.0
10,adaptive,1.00-1.50,0.43333333333333335,0.4,0.575,69.0,0.45,hold,0.1,0.1282051282051282,0.20588235294117646,1.0,0.9545454545454546,0.8222222222222222,0.4191555372731843,0.0,0.045454545454545456
1,fixed,1.50-2.00,0.6555555555555556,0.5833333333333334,0.39166666666666666,89.0,0.5,fixed,0.24778761061946902,0.7372881355932204,0.0,0.7699115044247787,0.0,0.37222222222222223,0.3448816225855374,0.23008849557522124,0.0
2,fixed,1.50-2.00,0.8,0.775,0.20833333333333334,89.0,0.5,fixed,0.1,0.8055555555555556,0.0,0.9354838709677419,0.0,0.3111111111111111,0.3976093189964158,0.06451612903225806,0.0
3,fixed,1.50-2.00,0.7944444444444444,0.75,0.25,89.0,0.5,fixed,0.15833333333333333,0.8321678321678322,0.0,0.8947368421052632,0.0,0.2611111111111111,0.4002585367848526,0.10526315789473684,0.0
4,fixed,1.50-2.00,0.7277777777777777,0.675,0.31666666666666665,89.0,0.5,fixed,0.175,0.7862595419847328,0.0,0.8442622950819673,0.0,0.32222222222222224,0.374956186821285,0.1557377049180328,0.0
5,fixed,1.50-2.00,0.6944444444444444,0.6,0.3333333333333333,89.0,0.5,fixed,0.18333333333333332,0.84,0.0,0.8267716535433071,0.0,0.29444444444444445,0.3890411198600175,0.1732283464566929,0.0
6,fixed,1.50-2.00,0.6555555555555556,0.5583333333333333,0.4,89.0,0.5,fixed,0.21929824561403508,0.8050847457627118,0.0,0.8333333333333334,0.0,0.36666666666666664,0.37685875706214683,0.16666666666666666,0.0
7,fixed,1.50-2.00,0.5388888888888889,0.5083333333333333,0.475,89.0,0.5,fixed,0.3416666666666667,0.8247422680412371,0.0,0.6557377049180327,0.0,0.32222222222222224,0.3525665784087281,0.3442622950819672,0.0
8,fixed,1.50-2.00,0.37777777777777777,0.35,0.6333333333333333,89.0,0.5,fixed,0.44642857142857145,0.8823529411764706,0.0,0.5357142857142857,0.0,0.37777777777777777,0.34602334267040147,0.4642857142857143,0.0
9,fixed,1.50-2.00,0.3111111111111111,0.375,0.5916666666666667,89.0,0.5,fixed,0.5346534653465347,0.8214285714285714,0.0,0.45544554455445546,0.0,0.4388888888888889,0.31085321389281784,0.5445544554455446,0.0
10,fixed,1.50-2.00,0.43333333333333335,0.49166666666666664,0.48333333333333334,89.0,0.5,fixed,0.425531914893617,0.7564102564102564,0.0,0.6276595744680851,0.0,0.4777777777777778,0.32079068921622106,0.3723404255319149,0.0
1,adaptive,1.50-2.00,0.6555555555555556,0.5833333333333334,0.39166666666666666,94.0,0.45,none,0.225,0.7711864406779662,0.0,0.7583333333333333,0.0,0.3333333333333333,0.35452259887005655,0.24166666666666667,0.0
2,adaptive,1.50-2.00,0.8,0.775,0.20833333333333334,89.0,0.45,decrease_flow,0.12844036697247707,0.7222222222222222,0.0,0.9541284403669725,0.0,0.39444444444444443,0.3726320081549439,0.045871559633027525,0.0
3,adaptive,1.50-2.00,0.7944444444444444,0.75,0.25,94.0,0.45,hold,0.15833333333333333,0.8811188811188811,0.0,0.8873239436619719,0.0,0.2111111111111111,0.41560952975037485,0.11267605633802817,0.0
4,adaptive,1.50-2.00,0.7277777777777777,0.675,0.31666666666666665,89.0,0.45,decrease_flow,0.13,0.6793893129770993,0.0,0.89,0.0,0.4444444444444444,0.346239016115352,0.11,0.0
5,adaptive,1.50-2.00,0.6944444444444444,0.6,0.3333333333333333,94.0,0.45,hold,0.19166666666666668,0.872,0.0,0.8257575757575758,0.0,0.26666666666666666,0.39956969696969696,0.17424242424242425,0.0
6,adaptive,1.50-2.00,0.6555555555555556,0.5583333333333333,0.4,89.0,0.45,decrease_flow,0.18085106382978725,0.6949152542372882,0.0,0.8723404255319149,0.0,0.4777777777777778,0.34638474175582,0.1276595744680851,0.0
7,adaptive,1.50-2.00,0.5388888888888889,0.5083333333333333,0.475,89.0,0.45,decrease_flow,0.25263157894736843,0.7422680412371134,0.0,0.7578947368421053,0.0,0.4722222222222222,0.3402125761138241,0.24210526315789474,0.0
8,adaptive,1.50-2.00,0.37777777777777777,0.35,0.6333333333333333,89.0,0.45,decrease_flow,0.3924050632911392,0.75,0.0,0.6455696202531646,0.0,0.5611111111111111,0.31875808720112514,0.35443037974683544,0.0
9,adaptive,1.50-2.00,0.3111111111111111,0.375,0.5916666666666667,89.0,0.45,decrease_flow,0.44285714285714284,0.7321428571428571,0.0,0.5857142857142857,0.0,0.6111111111111112,0.30062698412698413,0.4142857142857143,0.0
10,adaptive,1.50-2.00,0.43333333333333335,0.49166666666666664,0.48333333333333334,89.0,0.45,decrease_flow,0.23943661971830985,0.717948717948718,0.0,0.7887323943661971,0.0,0.6055555555555555,0.3331342241483087,0.2112676056338028,0.0
