fraction_mm,strategy,stage,feed_particles,top_particles,bottom_particles,al_top_purity,al_top_recovery,cu_bottom_purity,cu_bottom_recovery,cu_loss_top
0.25-1.00,fixed,2,110,42,68,1.0,0.5,0.38235294117647056,1.0,0.0
0.25-1.00,closed_loop_ml,2,110,53,57,1.0,0.6309523809523809,0.45614035087719296,1.0,0.0
0.25-1.00,fixed,3,68,0,68,,0.0,0.38235294117647056,1.0,0.0
0.25-1.00,closed_loop_ml,3,57,4,53,1.0,0.12903225806451613,0.49056603773584906,1.0,0.0
1.00-1.50,fixed,2,110,56,54,0.9285714285714286,0.7536231884057971,0.6851851851851852,0.9024390243902439,0.0975609756097561
1.00-1.50,closed_loop_ml,2,110,63,47,0.8888888888888888,0.8115942028985508,0.723404255319149,0.8292682926829268,0.17073170731707318
1.00-1.50,fixed,3,54,0,54,,0.0,0.6851851851851852,1.0,0.0
1.00-1.50,closed_loop_ml,3,47,16,31,0.1875,0.23076923076923078,0.6774193548387096,0.6176470588235294,0.38235294117647056
1.50-2.00,fixed,2,110,66,44,0.7878787878787878,0.7536231884057971,0.6136363636363636,0.6585365853658537,0.34146341463414637
1.50-2.00,closed_loop_ml,2,110,70,40,0.7714285714285715,0.782608695652174,0.625,0.6097560975609756,0.3902439024390244
1.50-2.00,fixed,3,44,0,44,,0.0,0.6136363636363636,1.0,0.0
1.50-2.00,closed_loop_ml,3,40,13,27,0.6153846153846154,0.5333333333333333,0.7407407407407407,0.8,0.2
